Rank,AvgScore,stdev
0,4.544,3.86
1,9.6,1.39
2,7.823,3.11
3,9.731,0.89
4,4.724,3.88
5,7.378,3.76
6,6.995,3.55
7,2.684,2.88
8,6.477,3.91
9,9.306,1.97
10,9.726,1.37
11,9.487,1.4
12,2.03,2.03
13,5.962,4.27
14,7.256,3.48
15,8.373,2.69
16,7.22,3.52
17,7.003,3.34
18,4.376,3.72
19,9.461,1.58
20,9.632,0.84
21,7.7,3.25
22,7.767,3.23
23,9.469,1.64
24,8.873,2.3
25,3.824,3.6
26,9.533,1.23
27,9.779,0.62
28,9.164,2.06
29,5.833,4.04
30,7.459,3.48
31,7.908,2.73
32,9.747,1.42
33,7.724,3.39
34,8.766,2.53
35,9.763,0.75
36,9.44,1.44
37,4.195,3.26
38,5.198,3.7
39,4.168,3.86
40,8.003,3.25
41,9.836,0.46
42,6.083,4.2
43,5.233,4.0
44,8.455,3.0
45,9.86,0.63
46,8.593,2.54
47,4.873,3.87
48,5.958,3.15
