Rank,mwscore,wscorestd
0,726,301
1,741,312
2,601,379
3,711,309
4,694,327
5,388,364
6,569,362
7,806,249
8,367,377
9,445,395
10,220,306
11,603,364
12,171,274
13,143,243
14,650,358
15,741,277
16,687,328
17,475,387
18,778,288
19,193,339
20,293,378
21,348,363
22,775,267
23,304,361
24,469,402
25,651,384
26,808,247
27,755,321
28,503,376
29,328,378
30,603,366
31,418,369
32,500,406
33,607,370
34,742,314
35,363,405
36,198,344
37,586,398
38,778,283
39,459,423
40,477,380
41,226,344
42,335,349
43,384,375
44,464,369
45,434,376
46,715,313
47,499,360
48,623,350
